Utheta:0,Utheta:1,Utheta:2,theta,arc_length
0.000262539,0,0,0.915752,0.02015
0.000262505,0,0,0.91554,0.0202
0.000262469,0,0,0.915327,0.02025
0.000262432,0,0,0.915114,0.0203
0.000262395,0,0,0.914899,0.02035
0.000262359,0,0,0.914683,0.0204
0.000262322,0,0,0.914466,0.02045
0.000262285,0,0,0.914247,0.0205
0.000262247,0,0,0.914027,0.02055
0.000262209,0,0,0.913806,0.0206
0.000262171,0,0,0.913584,0.02065
0.000262132,0,0,0.91336,0.0207
0.000262093,0,0,0.913136,0.02075
0.000262054,0,0,0.91291,0.0208
0.000262015,0,0,0.912682,0.02085
0.000261975,0,0,0.912454,0.0209
0.000261935,0,0,0.912224,0.02095
0.000261895,0,0,0.911993,0.021
0.000261854,0,0,0.911761,0.02105
0.000261813,0,0,0.911527,0.0211
0.000261771,0,0,0.911291,0.02115
0.00026173,0,0,0.911056,0.0212
0.000261688,0,0,0.910818,0.02125
0.000261646,0,0,0.910579,0.0213
0.000261603,0,0,0.910339,0.02135
0.00026156,0,0,0.910097,0.0214
0.000261516,0,0,0.909855,0.02145
0.000261472,0,0,0.909611,0.0215
0.000261428,0,0,0.909365,0.02155
0.000261384,0,0,0.909118,0.0216
0.000261339,0,0,0.90887,0.02165
0.000261294,0,0,0.90862,0.0217
0.000261248,0,0,0.908369,0.02175
0.000261203,0,0,0.908116,0.0218
0.000261156,0,0,0.907863,0.02185
0.00026111,0,0,0.907607,0.0219
0.000261064,0,0,0.907351,0.02195
0.000261016,0,0,0.907093,0.022
0.000260969,0,0,0.906834,0.02205
0.00026092,0,0,0.906573,0.0221
0.000260872,0,0,0.90631,0.02215
0.000260823,0,0,0.906047,0.0222
0.000260774,0,0,0.905782,0.02225
0.000260725,0,0,0.905515,0.0223
0.000260675,0,0,0.905247,0.02235
0.000260625,0,0,0.904977,0.0224
0.000260574,0,0,0.904706,0.02245
0.000260523,0,0,0.904433,0.0225
0.000260471,0,0,0.90416,0.02255
0.00026042,0,0,0.903884,0.0226
0.000260367,0,0,0.903607,0.02265
0.000260314,0,0,0.903328,0.0227
0.000260261,0,0,0.903048,0.02275
0.000260208,0,0,0.902766,0.0228
0.000260154,0,0,0.902483,0.02285
0.0002601,0,0,0.902198,0.0229
0.000260045,0,0,0.901913,0.02295
0.000259989,0,0,0.901625,0.023
0.000259934,0,0,0.901335,0.02305
0.000259878,0,0,0.901044,0.0231
0.000259822,0,0,0.900751,0.02315
0.000259765,0,0,0.900456,0.0232
0.000259708,0,0,0.900161,0.02325
0.00025965,0,0,0.899863,0.0233
0.000259592,0,0,0.899564,0.02335
0.000259533,0,0,0.899264,0.0234
0.000259474,0,0,0.898961,0.02345
0.000259415,0,0,0.898656,0.0235
0.000259355,0,0,0.898351,0.02355
0.000259294,0,0,0.898044,0.0236
0.000259234,0,0,0.897735,0.02365
0.000259172,0,0,0.897424,0.0237
0.00025911,0,0,0.897112,0.02375
0.000259048,0,0,0.896796,0.0238
0.000258985,0,0,0.896481,0.02385
0.000258922,0,0,0.896163,0.0239
0.000258858,0,0,0.895844,0.02395
0.000258795,0,0,0.895522,0.024
0.00025873,0,0,0.8952,0.02405
0.000258664,0,0,0.894875,0.0241
0.000258598,0,0,0.894549,0.02415
0.000258532,0,0,0.89422,0.0242
0.000258466,0,0,0.89389,0.02425
0.000258399,0,0,0.893558,0.0243
0.000258331,0,0,0.893224,0.02435
0.000258263,0,0,0.892888,0.0244
0.000258194,0,0,0.892551,0.02445
0.000258125,0,0,0.892212,0.0245
0.000258055,0,0,0.891871,0.02455
0.000257985,0,0,0.891528,0.0246
0.000257914,0,0,0.891182,0.02465
0.000257843,0,0,0.890836,0.0247
0.000257771,0,0,0.890487,0.02475
0.000257698,0,0,0.890137,0.0248
0.000257625,0,0,0.889784,0.02485
0.000257551,0,0,0.889429,0.0249
0.000257478,0,0,0.889073,0.02495
0.000257404,0,0,0.888715,0.025
0.000257328,0,0,0.888355,0.02505
0.000257252,0,0,0.887992,0.0251
0.000257176,0,0,0.887627,0.02515
0.000257099,0,0,0.887261,0.0252
0.000257022,0,0,0.886893,0.02525
0.000256944,0,0,0.886523,0.0253
0.000256865,0,0,0.88615,0.02535
0.000256785,0,0,0.885776,0.0254
0.000256706,0,0,0.885399,0.02545
0.000256625,0,0,0.88502,0.0255
0.000256544,0,0,0.884639,0.02555
0.000256462,0,0,0.884256,0.0256
0.000256381,0,0,0.883871,0.02565
0.000256297,0,0,0.883484,0.0257
0.000256214,0,0,0.883095,0.02575
0.00025613,0,0,0.882704,0.0258
0.000256045,0,0,0.88231,0.02585
0.00025596,0,0,0.881914,0.0259
0.000255873,0,0,0.881516,0.02595
0.000255787,0,0,0.881116,0.026
0.0002557,0,0,0.880713,0.02605
0.000255612,0,0,0.880309,0.0261
0.000255523,0,0,0.879902,0.02615
0.000255434,0,0,0.879493,0.0262
0.000255344,0,0,0.879081,0.02625
0.000255253,0,0,0.878668,0.0263
0.000255162,0,0,0.878252,0.02635
0.00025507,0,0,0.877834,0.0264
0.000254977,0,0,0.877413,0.02645
0.000254884,0,0,0.87699,0.0265
0.00025479,0,0,0.876565,0.02655
0.000254695,0,0,0.876137,0.0266
0.000254599,0,0,0.875707,0.02665
0.000254504,0,0,0.875275,0.0267
0.000254406,0,0,0.874839,0.02675
0.000254309,0,0,0.874402,0.0268
0.000254211,0,0,0.873962,0.02685
0.000254112,0,0,0.87352,0.0269
0.000254012,0,0,0.873075,0.02695
0.000253911,0,0,0.872628,0.027
0.00025381,0,0,0.872178,0.02705
0.000253708,0,0,0.871727,0.0271
0.000253605,0,0,0.871271,0.02715
0.000253501,0,0,0.870814,0.0272
0.000253398,0,0,0.870354,0.02725
0.000253292,0,0,0.869892,0.0273
0.000253186,0,0,0.869426,0.02735
0.000253079,0,0,0.868959,0.0274
0.000252971,0,0,0.868488,0.02745
0.000252863,0,0,0.868016,0.0275
0.000252754,0,0,0.86754,0.02755
0.000252644,0,0,0.867061,0.0276
0.000252533,0,0,0.86658,0.02765
0.000252422,0,0,0.866096,0.0277
0.000252309,0,0,0.86561,0.02775
0.000252196,0,0,0.865121,0.0278
0.000252081,0,0,0.864629,0.02785
0.000251966,0,0,0.864133,0.0279
0.000251851,0,0,0.863636,0.02795
0.000251734,0,0,0.863135,0.028
0.000251616,0,0,0.862631,0.02805
0.000251498,0,0,0.862126,0.0281
0.000251379,0,0,0.861617,0.02815
